COUNTY,REP,DEM
Adams,22790,7676
Alexander,1496,1262
Bond,4888,2068
Boone,12282,8986
Brown,1796,476
Bureau,9281,6029
Calhoun,1721,739
Carroll,4434,2447
Cass,3216,1621
Champaign,33368,50137
Christian,10543,3992
Clark,5622,1877
Clay,5021,1020
Clinton,12412,3945
Coles,13003,7309
Cook,453287,1611946
Crawford,6277,1992
Cumberland,4206,1031
De Kalb,19091,20466
De Witt,5077,1910
Douglas,5698,1949
Du Page,166415,228622
Edgar,5645,1793
Edwards,2778,434
Effingham,13635,3083
Fayette,7372,1819
Ford,4480,1414
Franklin,13116,4727
Fulton,8492,6133
Gallatin,1942,657
Greene,4145,1205
Grundy,13454,8065
Hamilton,3206,802
Hancock,6430,2139
Hardin,1653,420
Henderson,2155,1155
Henry,13985,8871
Iroquois,9750,2504
Jackson,10843,11634
Jasper,3975,924
Jefferson,11695,4425
Jersey,7748,2679
Jo Daviess,6121,4462
Johnson,4649,1142
Kane,82734,103665
Kankakee,25129,18971
Kendall,24961,24884
Knox,10737,10083
Lake,109767,171095
La Salle,26689,19543
Lawrence,4521,1290
Lee,8612,5528
Livingston,10208,4023
Logan,8181,3313
Macon,26866,18343
Macoupin,14322,6689
Madison,70490,50587
Marion,11859,4369
Marshall,3785,1789
Mason,4058,2014
Massac,4846,1558
McDonough,6795,5288
McHenry,71612,60803
McLean,37237,36196
Menard,4231,1817
Mercer,4807,3071
Monroe,12629,5535
Montgomery,8630,3504
Morgan,9076,4696
Moultrie,4455,1481
Ogle,14352,8050
Peoria,35633,38060
Perry,6855,2462
Piatt,5634,2645
Pike,5754,1413
Pope,1678,375
Pulaski,1675,962
Putnam,1767,1147
Randolph,10023,3439
Richland,5739,1584
Rock Island,26998,32298
Saline,8276,2572
Sangamon,49944,40907
Schuyler,2524,1075
Scott,1966,535
Shelby,8229,2288
St Clair,53857,60756
Stark,1778,751
Stephenson,11083,7768
Tazewell,38707,20685
Union,5790,2402
Vermilion,19087,10039
Wabash,4047,1151
Warren,4275,2987
Washington,5571,1448
Wayne,6967,1048
White,5640,1412
Whiteside,12615,11035
Will,132720,151927
Williamson,21570,8581
Winnebago,55624,55713
Woodford,13207,5092
